ciutat,pagina,zona,carrer,preu,m2,preu_m2,nHab,nBanys
girona,5,"Montilivi, Palau, Centre-Barri Vell",,1.600,77,21,2,2
girona,5,"Montilivi, Palau, Sant Narcis",,750,83,9,4,1
girona,5,"Montilivi, Palau, Eixample Sud-Migdia",,600,35,17,1,1
girona,5,"Montilivi, Palau, Eixample Sud-Migdia",,1.500,180,8,5,3
girona,5,"Montilivi, Palau, Centre-Barri Vell",,540,35,15,1,1
girona,5,"Montilivi, Palau, Eixample Nord",,850,90,9,3,2
girona,5,"Montilivi, Palau, Centre-Carme",,980,100,10,3,2
girona,5,"Montilivi, Palau, Centre-Barri Vell",,750,55,14,2,1
girona,5,"Montilivi, Palau, Centre-Barri Vell",,525,55,10,1,1
girona,5,"Montilivi, Palau, Centre-Barri Vell",,825,130,6,3,1
girona,5,"Montilivi, Palau",,700,66,11,2,1
girona,5,"Montilivi, Palau, Centre-Barri Vell",,880,75,12,2,1
girona,5,"Montilivi, Palau, La Devesa",,1.300,115,11,4,2
girona,6,"Montilivi, Palau, Eixample Nord",,750,80,9,3,1
girona,6,"Montilivi, Palau, Eixample Nord",,1.200,140,9,4,2
girona,6,"Montilivi, Palau, La Devesa",,850,100,9,3,2
girona,6,"Montilivi, Palau, Centre-Carme",,680,72,9,2,1
girona,6,"Montilivi, Palau, La Devesa",,1.300,186,7,4,2
girona,6,"Montilivi, Palau, Centre-Barri Vell",,800,78,10,3,1
girona,6,"Montilivi, Palau, Centre-Barri Vell",,1.400,120,12,3,2
girona,6,"Montilivi, Palau, Eixample Sud-Migdia",,775,72,11,3,2
girona,6,"Montilivi, Palau, Eixample Nord",,1.100,107,10,4,2
girona,6,"Montilivi, Palau, Centre-Barri Vell",,1.400,120,12,3,2
girona,6,"Montilivi, Palau, La Devesa",,900,95,9,4,2
girona,6,"Montilivi, Palau",,750,80,9,2,1
girona,6,"Montilivi, Palau, Santa Eugenia",,850,92,9,3,2
girona,6,"Montilivi, Palau, Pont Major-Pedret",,1.000,110,9,2,1
girona,6,"Montilivi, Palau",,775,69,11,2,1
girona,6,"Montilivi, Palau",,700,68,10,2,1
girona,6,"Montilivi, Palau, Eixample Nord",,630,40,16,1,1
girona,6,"Montilivi, Palau, Eixample Nord",,600,40,15,1,1
girona,6,"Montilivi, Palau, Centre-Barri Vell",,600,44,14,1,1
girona,6,"Montilivi, Palau, Eixample Sud-Migdia",,600,50,12,1,1
girona,7,"Montilivi, Palau",,650,76,9,3,1
girona,7,"Montilivi, Palau",,850,88,10,3,2
girona,7,"Montilivi, Palau, Santa Eugenia",,750,93,8,3,2
girona,7,"Montilivi, Palau, Eixample Nord",,850,95,9,3,2
girona,7,"Montilivi, Palau, Centre-Barri Vell",,650,62,10,2,2
girona,7,"Montilivi, Palau, La Devesa",,1.300,186,7,4,2
girona,7,"Montilivi, Palau, Eixample Sud-Migdia",,1.100,118,9,4,2
girona,7,"Montilivi, Palau, Eixample Sud-Migdia",,650,60,11,2,1
girona,7,"Montilivi, Palau, Eixample Nord",,680,72,9,2,1
girona,7,"Montilivi, Palau, Santa Eugenia",,695,81,9,3,1
girona,7,"Montilivi, Palau, Centre-Carme",,650,84,8,2,1
girona,7,"Montilivi, Palau, Centre-Barri Vell",,950,120,8,3,2
girona,7,"Montilivi, Palau, La Devesa",,1.300,100,13,4,2
girona,7,"Montilivi, Palau, La Devesa",,1.300,110,12,4,2
girona,7,"Montilivi, Palau",,900,102,9,4,2
girona,7,"Montilivi, Palau, Eixample Nord",,950,115,8,4,2
girona,7,"Montilivi, Palau, Centre-Barri Vell",,750,60,13,3,1
girona,7,"Montilivi, Palau, Eixample Nord",,700,50,14,2,1
girona,7,"Montilivi, Palau, Centre-Barri Vell",,750,80,9,3,1
girona,7,"Montilivi, Palau, Centre-Barri Vell",,1.300,130,10,4,2
girona,8,"Montilivi, Palau, La Devesa",,750,90,8,3,2
girona,8,"Montilivi, Palau, Centre-Barri Vell",,1.300,116,11,4,2
girona,8,"Montilivi, Palau, Santa Eugenia",,575,40,14,1,1
girona,8,"Montilivi, Palau, Eixample Nord",,700,80,9,3,1
girona,8,"Montilivi, Palau, La Devesa",,950,82,12,4,1
girona,8,"Montilivi, Palau, Centre-Barri Vell",,750,55,14,1,1
girona,8,"Montilivi, Palau, Centre-Barri Vell",,700,59,12,2,1
girona,8,"Montilivi, Palau, Centre-Barri Vell",,775,60,13,1,1
girona,8,"Montilivi, Palau, Eixample Sud-Migdia",,550,38,14,1,1
girona,8,"Montilivi, Palau, Centre-Barri Vell",,850,72,12,2,2
girona,8,"Montilivi, Palau, La Devesa",,850,94,9,3,2
girona,8,"Montilivi, Palau, La Devesa",,1.000,119,8,3,2
girona,8,"Montilivi, Palau, Eixample Nord",,1.000,85,12,3,1
girona,8,"Montilivi, Palau, Centre-Barri Vell",,950,85,11,3,2
girona,8,"Montilivi, Palau, La Devesa",,990,124,8,3,2
girona,8,"Montilivi, Palau, Centre-Barri Vell",,1.000,135,7,3,2
girona,8,"Montilivi, Palau, Centre-Barri Vell",,940,85,11,3,2
girona,8,"Montilivi, Palau, Centre-Barri Vell",,920,85,11,3,2
girona,8,"Montilivi, Palau, Centre-Barri Vell",,1.000,137,7,3,2
girona,8,"Montilivi, Palau, Eixample Sud-Migdia",,980,101,10,4,2
girona,9,"Montilivi, Palau, Eixample Nord",,700,60,12,2,1
girona,9,"Montilivi, Palau, La Devesa",,990,110,9,3,2
girona,9,"Montilivi, Palau, Centre-Barri Vell",,1.400,130,11,3,2
girona,9,"Montilivi, Palau, Centre-Barri Vell",,700,95,7,3,1
girona,9,"Montilivi, Palau, La Devesa",,1.200,90,13,3,1
girona,9,"Montilivi, Palau, Centre-Carme",,1.650,170,10,5,3
girona,9,"Montilivi, Palau, La Devesa",,700,87,8,3,1
girona,9,"Montilivi, Palau, Santa Eugenia",,800,112,7,3,2
girona,9,"Montilivi, Palau, Eixample Sud-Migdia",,980,113,9,4,2
girona,9,"Montilivi, Palau, La Devesa",,950,95,10,3,2
girona,9,"Montilivi, Palau, Centre-Barri Vell",,1.200,107,11,4,2
girona,9,"Montilivi, Palau, Eixample Nord",,650,65,10,2,1
girona,9,"Montilivi, Palau, Fontajau-Domeny",,650,65,10,2,1
girona,9,"Montilivi, Palau, Centre-Carme",,630,44,14,1,1
girona,9,"Montilivi, Palau, Eixample Sud-Migdia",,1.500,165,9,4,3
girona,9,"Montilivi, Palau",,980,94,10,3,2
girona,9,"Montilivi, Palau",,1.100,94,12,3,2
girona,9,"Montilivi, Palau, Centre-Barri Vell",,900,130,7,2,2
girona,9,"Montilivi, Palau, Eixample Nord",,900,110,8,4,1
girona,9,"Montilivi, Palau, Centre-Carme",,650,59,11,2,1
girona,10,"Montilivi, Palau, Pont Major-Pedret",,1.000,90,11,2,1
girona,10,"Montilivi, Palau, Centre-Barri Vell",,850,56,15,1,1
girona,10,"Montilivi, Palau, Centre-Carme",,550,20,28,,1
girona,10,"Montilivi, Palau, Eixample Nord",,670,70,10,2,1
girona,10,"Montilivi, Palau",,725,60,12,2,2
girona,10,"Montilivi, Palau, Centre-Barri Vell",,900,80,11,2,1
girona,10,"Montilivi, Palau, Centre-Barri Vell",,750,83,9,3,1
girona,10,"Montilivi, Palau, Eixample Nord",,825,65,13,3,1
girona,10,"Montilivi, Palau, Centre-Barri Vell",,1.000,85,12,3,2
girona,10,"Montilivi, Palau, Santa Eugenia",,540,48,11,1,1
girona,10,"Montilivi, Palau, Eixample Nord",,1.200,150,8,4,2
girona,10,"Montilivi, Palau, Eixample Nord",,1.200,150,8,5,2
girona,10,"Montilivi, Palau, Eixample Sud-Migdia",,800,65,12,3,2
girona,10,"Montilivi, Palau, La Devesa",,650,59,11,2,1
girona,10,"Montilivi, Palau, La Devesa",,650,67,10,2,1
girona,10,"Montilivi, Palau, Centre-Barri Vell",,800,100,8,3,1
girona,10,"Montilivi, Palau, Centre-Carme",,600,50,12,1,1
girona,10,"Montilivi, Palau, La Devesa",,500,85,6,2,1
girona,10,"Montilivi, Palau, Centre-Barri Vell",,850,90,9,2,2
girona,10,"Montilivi, Palau, Eixample Nord",,950,90,11,4,2
girona,11,"Montilivi, Palau, Eixample Nord",,1.600,280,6,3,2
girona,11,"Montilivi, Palau, Centre-Barri Vell",,850,90,9,2,2
girona,11,"Montilivi, Palau, Centre-Barri Vell",,1.100,80,14,1,1
girona,11,"Montilivi, Palau, Centre-Barri Vell",,1.500,120,13,4,2
girona,11,"Montilivi, Palau, Sant Narcis",,550,68,8,2,1
girona,11,"Montilivi, Palau, Eixample Sud-Migdia",,750,72,10,3,1
girona,11,"Montilivi, Palau, Eixample Nord",,680,66,10,2,1
girona,11,"Montilivi, Palau, La Devesa",,950,90,11,3,2
girona,11,"Montilivi, Palau, Centre-Barri Vell",,700,70,10,1,1
girona,11,"Montilivi, Palau, La Devesa",,950,95,10,3,2
girona,11,"Montilivi, Palau",,985,93,11,3,1
girona,11,"Montilivi, Palau, Eixample Nord",,900,153,6,3,2
girona,11,"Montilivi, Palau, Eixample Sud-Migdia",,850,105,8,4,2
girona,11,"Montilivi, Palau, Eixample Sud-Migdia",,1.200,140,9,4,2
girona,11,"Montilivi, Palau, Centre-Barri Vell",,700,75,9,2,1
girona,11,"Montilivi, Palau, Centre-Carme",,875,120,7,4,2
girona,11,"Montilivi, Palau, Eixample Nord",,1.200,130,9,4,3
girona,11,"Montilivi, Palau, Centre-Barri Vell",,1.700,130,13,2,2
girona,11,"Montilivi, Palau, Centre-Barri Vell",,900,70,13,2,1
girona,11,"Montilivi, Palau, Centre-Barri Vell",,1.200,150,8,1,1
girona,12,"Montilivi, Palau, Eixample Nord",,1.200,120,10,4,2
girona,12,"Montilivi, Palau, Centre-Barri Vell",,580,47,12,1,1
girona,12,"Montilivi, Palau, Eixample Nord",,1.200,130,9,4,3
girona,12,"Montilivi, Palau, La Devesa",,1.000,88,11,2,2
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,915,96,10,3,2
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,1.100,100,11,4,2
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,945,109,9,3,2
girona,12,"Montilivi, Palau, Centre-Barri Vell",,1.350,125,11,4,2
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,750,45,17,1,1
girona,12,"Montilivi, Palau, Centre-Barri Vell",,975,85,11,3,2
girona,12,"Montilivi, Palau, Eixample Nord",,1.400,150,9,5,2
girona,12,"Montilivi, Palau",,2.500,450,6,6,2
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,735,43,17,1,1
girona,12,"Montilivi, Palau",,3.500,380,9,6,4
girona,12,"Montilivi, Palau, Eixample Sud-Migdia",,945,109,9,3,2
