ciutat,pagina,zona,carrer,preu,m2,preu_m2,nHab,nBanys
lleida,8,"Bordeta, Joc de la Bola",,1.250,240,5,5,4
lleida,8,"Bordeta, Ciutat Jardí",,2.200,305,7,6,4
lleida,8,"Bordeta, Joc de la Bola",,600,70,9,2,1
lleida,8,Mariola,,700,100,7,3,2
lleida,8,"Bordeta, Clot-Príncep de Viana",,650,90,7,3,1
lleida,8,"Centre Històric, Centre Històric",,1.500,245,6,4,2
lleida,8,Cappont,,700,70,10,2,2
lleida,8,"Centre Històric, Centre Històric",,600,60,10,2,2
lleida,8,"Bordeta, Ciutat Jardí",,1.800,500,4,6,4
lleida,8,"Centre Històric, Centre Històric",,850,120,7,3,2
lleida,9,"Bordeta, Clot-Príncep de Viana",,750,160,5,4,2
lleida,9,"Bordeta, Clot-Príncep de Viana",,850,136,6,4,2
lleida,9,"Centre Històric, Centre Històric",,850,138,6,3,2
lleida,9,"Bordeta, Clot-Príncep de Viana",,750,150,5,4,2
lleida,9,"Bordeta, Clot-Príncep de Viana",,830,130,6,4,2
lleida,9,"Bordeta, Ciutat Jardí",,500,60,8,2,1
lleida,9,"Bordeta, Ciutat Jardí",,2.375,533,4,5,6
lleida,9,"Bordeta, Clot-Príncep de Viana",,1.100,150,7,5,2
barcelona,1,Esquerra Eixample,,1.200,70,17,3,1
barcelona,1,Sarriá,,1.750,50,35,1,1
barcelona,1,Les Corts,,1.000,75,13,1,1
barcelona,1,Raval,,3.900,155,25,4,2
barcelona,1,Sants,Rambla de Badal,1.300,50,26,1,1
barcelona,1,Grácia,Carrer de València,1.600,110,15,2,1
barcelona,1,Guinardó,,1.800,150,12,3,2
barcelona,1,Sagrada Familia,,1.200,75,16,2,1
barcelona,1,Sarrià - Sant Gervasi,,2.900,100,29,2,2
barcelona,1,Guinardó,,925,75,12,3,1
barcelona,1,Clot,,1.850,95,19,3,1
barcelona,1,La Teixonera,,1.200,87,14,2,2
barcelona,1,Les Corts,,825,35,24,1,1
barcelona,1,Sant Martí,,2.400,100,24,2,2
barcelona,1,Guinardó,,2.000,230,9,5,2
barcelona,1,Sant Martí,,2.200,130,17,3,2
barcelona,1,Sant Martí,,4.500,237,19,4,2
barcelona,1,Sants Montjuic,,1.550,92,17,3,1
barcelona,1,Barceloneta,,1.950,120,16,4,2
barcelona,1,Horta,,1.275,124,10,2,1
barcelona,2,Prosperitat,,850,55,15,2,1
barcelona,2,Gotic,,730,60,12,1,1
barcelona,2,Gotic,,1.400,116,12,2,1
barcelona,2,Grácia,,795,28,28,1,1
barcelona,2,Sant Gervasi,,870,61,14,1,1
barcelona,2,Poble Nou,,1.600,98,16,2,2
barcelona,2,Grácia,,1.250,73,17,3,1
barcelona,2,Sant Antoni,,1.450,130,11,5,2
barcelona,2,Sants,Bonsoms 14 3,1.475,95,16,3,2
barcelona,2,Sant Andreu,,1.400,78,18,3,1
barcelona,2,Raval,,750,30,25,1,1
barcelona,2,Les Corts,,1.050,78,13,1,1
barcelona,2,Sant Martí,,900,65,14,2,1
barcelona,2,Sarrià - Sant Gervasi,,1.550,98,16,1,1
barcelona,2,Sant Martí,,1.500,40,38,1,1
barcelona,2,Ciutat Vella,,1.150,65,18,3,2
barcelona,2,Eixample,,1.200,62,19,2,1
barcelona,2,Eixample,,1.250,80,16,2,1
barcelona,2,Sant Martí,,950,45,21,1,1
barcelona,2,Ciutat Vella,,935,85,11,1,1
barcelona,3,Gotic,,900,35,26,1,1
barcelona,3,Raval,,875,52,17,2,1
barcelona,3,Gotic,,730,60,12,1,2
barcelona,3,Ciutat Vella,,1.000,55,18,1,1
barcelona,3,Prosperitat,,850,51,17,3,1
barcelona,3,Raval,,850,35,24,1,1
barcelona,3,Gotic,,2.300,150,15,4,2
barcelona,3,Ciutat Vella,,2.800,85,33,2,2
barcelona,3,Eixample,,2.500,130,19,2,2
barcelona,3,Sant Martí,,2.200,103,21,3,2
barcelona,3,Ciutat Vella,,1.300,54,24,2,1
barcelona,3,Sant Martí,,1.200,132,9,2,1
barcelona,3,Eixample,,1.650,90,18,3,1
barcelona,3,Sant Martí,,1.550,75,21,2,1
barcelona,3,Sant Martí,,1.400,90,16,3,1
barcelona,3,Sants Montjuic,,1.200,65,18,1,1
barcelona,3,Ciutat Vella,,1.500,83,18,2,1
barcelona,3,Eixample,,1.800,98,18,2,2
barcelona,3,Ciutat Vella,,1.250,54,23,2,1
barcelona,3,Clot,,950,35,27,1,1
barcelona,4,La Teixonera,,2.000,115,17,3,2
barcelona,4,Barcelona Capital,,1.500,97,15,3,1
barcelona,4,Sant Martí,,1.200,75,16,3,1
barcelona,4,Sant Martí,,2.500,55,45,1,1
barcelona,4,Sants,,1.050,74,14,3,1
barcelona,4,Sarrià - Sant Gervasi,,1.950,100,20,2,1
barcelona,4,Raval,,1.275,75,17,2,1
barcelona,4,Grácia,,1.700,114,15,4,2
barcelona,4,Raval,,1.100,86,13,1,1
barcelona,4,Clot,,1.250,68,18,1,1
barcelona,4,Sarrià - Sant Gervasi,,1.800,75,24,1,1
barcelona,4,Ciutat Vella,,1.089,45,24,1,1
barcelona,4,Ciutat Vella,,1.200,68,18,2,1
barcelona,4,Besós,,2.400,82,29,2,2
barcelona,4,Raval,,1.050,52,20,2,1
barcelona,4,Raval,,950,50,19,1,1
barcelona,4,Eixample,,1.600,95,17,3,1
barcelona,4,Ciutat Vella,,1.800,70,26,1,1
barcelona,4,Eixample,,2.350,105,22,3,1
barcelona,4,Eixample,,1.950,145,13,4,1
barcelona,5,Sarrià - Sant Gervasi,,2.000,85,24,1,1
barcelona,5,Sant Martí,,975,60,16,2,1
barcelona,5,Ciutat Vella,,1.200,75,16,1,1
barcelona,5,Besós,,2.400,101,24,3,2
barcelona,5,Eixample,,2.350,110,21,3,2
barcelona,5,Ciutat Vella,,1.400,110,13,2,1
barcelona,5,Les Corts,,2.850,150,19,4,2
barcelona,5,Eixample,,1.050,70,15,2,1
barcelona,5,Sant Martí,,1.850,100,19,3,1
barcelona,5,Ciutat Vella,,1.190,69,17,2,1
barcelona,5,Sarrià - Sant Gervasi,,1.325,63,21,1,1
barcelona,5,Sarrià - Sant Gervasi,,1.600,92,17,2,2
barcelona,5,Grácia,,1.600,75,21,3,1
barcelona,5,Guinardó,,3.100,163,19,4,2
barcelona,5,Eixample,,1.900,80,24,2,1
barcelona,5,Ciutat Vella,,1.300,100,13,2,2
barcelona,5,Grácia,,1.200,70,17,3,1
barcelona,5,Ciutat Vella,,3.000,98,31,2,1
barcelona,5,Ciutat Vella,,800,40,20,1,1
barcelona,5,Trinitat Vella,,1.350,67,20,2,1
barcelona,6,Trinitat Vella,,1.350,54,25,2,2
barcelona,6,Raval,,900,50,18,2,1
barcelona,6,Zona Franca - Port,,1.750,110,16,2,2
barcelona,6,Eixample,,8.500,146,58,4,2
barcelona,6,Pedralbes,,2.500,150,17,3,2
barcelona,6,Ciutat Vella,,850,53,16,1,1
barcelona,6,Eixample,,2.050,85,24,2,1
barcelona,6,Eixample,,2.100,67,31,2,1
barcelona,6,Sarrià - Sant Gervasi,,1.100,80,14,3,1
barcelona,6,Eixample,,1.600,75,21,2,1
barcelona,6,Eixample,,1.450,100,15,3,2
barcelona,6,Grácia,,1.000,50,20,1,1
barcelona,6,Grácia,,1.400,78,18,3,1
barcelona,6,Eixample,,2.500,118,21,4,2
barcelona,6,Ciutat Vella,,1.450,60,24,1,1
barcelona,6,Sant Andreu,,1.490,80,19,3,2
barcelona,6,Sants Montjuic,,1.095,73,15,2,1
barcelona,6,Sarrià - Sant Gervasi,,2.200,195,11,5,3
barcelona,6,Sant Martí,,1.700,117,15,3,2
barcelona,6,Eixample,,1.150,72,16,2,1
barcelona,7,Ciutat Vella,,1.950,190,10,4,1
barcelona,7,Raval,,950,50,19,2,1
barcelona,7,Sant Antoni,,1.550,80,19,3,2
barcelona,7,Pedralbes,,4.100,185,22,5,2
barcelona,7,Eixample,,3.000,160,19,3,3
barcelona,7,Eixample,,2.400,120,20,3,2
barcelona,7,Eixample,,1.850,140,13,3,2
barcelona,7,Les Corts,,1.900,78,24,2,1
barcelona,7,Sarrià - Sant Gervasi,,1.200,50,24,1,1
barcelona,7,Eixample,,1.500,130,12,3,2
barcelona,7,Raval,,890,30,30,1,1
barcelona,7,Dreta Eixample,Paseo PUIGMADRONA,2.400,240,10,4,3
barcelona,7,Gotic,,1.000,65,15,1,1
barcelona,7,Les Corts,,5.700,295,19,5,4
barcelona,7,Sant Antoni,,900,43,21,1,1
barcelona,7,Guinardó,,1.450,90,16,3,2
barcelona,7,Guinardó,,1.350,110,12,2,2
barcelona,7,Eixample,,1.500,80,19,3,2
barcelona,7,Sarriá,,1.700,131,13,3,2
barcelona,7,Eixample,,1.500,84,18,3,1
barcelona,8,Eixample,,1.110,70,16,2,1
barcelona,8,Eixample,,1.200,77,16,3,1
barcelona,8,Grácia,,1.200,90,13,3,1
barcelona,8,Eixample,,1.500,95,16,3,1
barcelona,8,Grácia,,2.400,115,21,3,2
barcelona,8,Eixample,,1.265,85,15,4,1
barcelona,8,La Teixonera,,1.224,75,16,1,1
barcelona,8,Eixample,,1.275,79,16,3,2
barcelona,8,Roquetes - Verdum,ALMAGRO,725,48,15,2,1
barcelona,8,Raval,,1.550,50,31,2,1
barcelona,8,Eixample,,1.050,73,14,1,1
barcelona,8,Sant Martí,,960,60,16,1,1
barcelona,8,Sarrià - Sant Gervasi,,3.800,454,8,6,4
barcelona,8,La Teixonera,,1.500,68,22,2,1
barcelona,8,Ciutat Vella,,1.250,80,16,2,1
barcelona,8,Les Corts,,2.050,190,11,4,2
barcelona,8,Sants Montjuic,,1.300,80,16,3,1
barcelona,8,Sant Martí,,3.900,146,27,3,2
barcelona,8,Sarrià - Sant Gervasi,,1.700,138,12,3,2
barcelona,8,Sarrià - Sant Gervasi,,1.350,71,19,2,1
barcelona,9,Eixample,,4.800,136,35,3,2
barcelona,9,Sarrià - Sant Gervasi,,2.900,220,13,4,3
barcelona,9,Eixample,,1.350,80,17,2,1
barcelona,9,Eixample,,2.500,90,28,2,2
barcelona,9,Grácia,,4.100,200,21,5,2
barcelona,9,Eixample,,1.450,120,12,5,2
barcelona,9,Sant Antoni,,1.350,80,17,1,1
barcelona,9,Grácia,,1.450,77,19,3,1
barcelona,9,Eixample,,1.300,98,13,4,2
barcelona,9,Grácia,,1.600,83,19,3,1
barcelona,9,Sagrada Familia,,1.300,80,16,3,2
barcelona,9,Eixample,,2.700,95,28,2,2
barcelona,9,Ciutat Vella,,1.350,75,18,2,1
barcelona,9,Ciutat Vella,,1.120,62,18,1,1
barcelona,9,Sant Martí,,2.000,140,14,2,2
barcelona,9,Les Corts,,2.750,165,17,5,3
barcelona,9,Sant Martí,,1.900,80,24,2,1
barcelona,9,Sarrià - Sant Gervasi,,1.750,55,32,1,1
barcelona,9,Sants Montjuic,,2.500,60,42,2,1
barcelona,9,Eixample,,2.250,88,26,2,1
barcelona,10,Eixample,,2.000,71,28,2,1
barcelona,10,Ciutat Vella,,3.300,87,38,2,2
barcelona,10,Sagrada Familia,,1.600,110,15,4,1
barcelona,10,Raval,,990,58,17,2,1
barcelona,10,Sarrià - Sant Gervasi,,1.750,104,17,3,2
barcelona,10,Sant Martí,,1.250,85,15,3,1
barcelona,10,Eixample,,1.500,76,20,2,1
barcelona,10,Eixample,,1.700,120,14,2,2
barcelona,10,Eixample,,1.800,67,27,2,1
barcelona,10,Eixample,,1.200,65,18,2,1
barcelona,10,Eixample,,1.700,80,21,3,1
barcelona,10,Les Corts,,1.800,140,13,4,2
barcelona,10,Besós,,2.000,75,27,1,1
barcelona,10,Raval,,1.200,35,34,1,1
barcelona,10,Sant Antoni,,1.500,85,18,3,1
barcelona,10,Eixample,,1.900,115,17,2,1
barcelona,10,Diagonal Mar i front Maritim del Poble Nou,,5.500,200,28,3,2
barcelona,10,Grácia,,1.400,80,18,4,1
barcelona,10,Eixample,,1.399,74,19,2,1
barcelona,10,Eixample,,1.400,80,18,2,1
barcelona,11,Diagonal Mar i front Maritim del Poble Nou,,2.200,100,22,2,1
barcelona,11,Raval,,1.150,59,19,1,1
barcelona,11,Guinardó,,1.300,85,15,3,1
barcelona,11,Sant Gervasi,,1.850,120,15,3,2
barcelona,11,Ciutat Vella,,3.000,87,34,2,2
barcelona,11,Eixample,,1.700,90,19,3,1
barcelona,11,Ciutat Vella,,1.600,113,14,2,1
barcelona,11,Sarrià - Sant Gervasi,,2.390,220,11,4,2
barcelona,11,Raval,,1.100,25,44,1,1
barcelona,11,Raval,,1.350,70,19,1,1
barcelona,11,Font de la Guatlla,,1.300,64,20,2,1
barcelona,11,La Teixonera,,2.500,110,23,5,3
barcelona,11,Gotic,,2.500,115,22,2,2
barcelona,11,Clot,,1.290,93,14,3,2
barcelona,11,Guinardó,,1.300,97,13,2,1
barcelona,11,Gotic,,1.090,44,25,1,1
barcelona,11,Eixample,,2.200,70,31,2,1
barcelona,11,Eixample,,1.350,80,17,2,1
barcelona,11,Eixample,,1.400,83,17,3,1
barcelona,11,Montjuïc,,1.550,87,18,3,1
barcelona,12,Vallcarca,,1.300,107,12,2,1
barcelona,12,Grácia,,1.100,85,13,4,1
barcelona,12,Verneda i La Pau,,1.350,65,21,2,1
barcelona,12,Sant Martí,,20.000,180,111,4,4
barcelona,12,La Teixonera,,1.350,73,18,3,1
barcelona,12,Eixample,,1.850,110,17,3,2
barcelona,12,Raval,,1.350,30,45,1,1
barcelona,12,Raval,,1.350,30,45,1,1
barcelona,12,Raval,,1.400,30,47,1,1
barcelona,12,Raval,,1.350,30,45,1,1
barcelona,12,Raval,,1.250,30,42,1,1
barcelona,12,Gotic,,1.200,52,23,2,1
barcelona,12,Gotic,,1.300,65,20,2,1
barcelona,12,Sarriá,Carrer de l'Emancipació,4.700,265,18,5,5
barcelona,12,Grácia,Carrer de València,1.600,110,15,2,1
barcelona,12,Sant Gervasi,,2.500,187,13,5,3
barcelona,12,Eixample,,1.300,50,26,1,1
barcelona,12,Sant Martí,,2.500,75,33,2,1
barcelona,12,Eixample,,2.500,100,25,3,2
barcelona,12,Gotic,,1.200,52,23,2,1
barcelona,13,Raval,,1.500,75,20,2,2
barcelona,13,Eixample,,1.400,75,19,3,2
barcelona,13,Sants,,1.300,75,17,2,1
barcelona,13,Sants Montjuic,,1.500,58,26,2,1
barcelona,13,Esquerra Eixample,Carrer del Rosselló,470,78,6,2,2
barcelona,13,Raval,,120,75,2,1,
barcelona,13,Sant Gervasi,"Miño 9, 4º",790,27,29,,1
barcelona,13,Raval,,650,30,22,1,
barcelona,13,La Font d'en Fargues,,1.150,50,23,4,1
barcelona,13,Montjuïc,,600,30,20,1,
barcelona,13,Raval,,900,65,14,3,
barcelona,13,Dreta Eixample,"AUSIAS MARC 17, 3º",1.400,80,18,2,1
barcelona,13,Raval,,900,38,24,4,1
barcelona,13,"Sant Pere, Santa Caterina i la Ribera",banys vells 1,1.100,90,12,2,1
barcelona,13,Raval,,950,,,1,
barcelona,13,Raval,,2.650,100,27,3,
barcelona,13,Raval,,1.500,68,22,3,
barcelona,13,Raval,,1.400,45,31,1,
barcelona,13,Raval,,1.400,45,31,1,
barcelona,13,Raval,,1.400,55,25,1,
barcelona,14,Raval,,1.400,45,31,1,
barcelona,14,Raval,,750,40,19,2,
barcelona,14,"Parc i Llacuna del Poble Nou, Carrera de marina","Carrera de Marina  102, Blq. 3, Esc. 3, 3º Derecho",850,90,9,3,
barcelona,14,Raval,,750,45,17,2,
barcelona,14,Raval,,725,40,18,2,
barcelona,14,Raval,,1.250,68,18,2,
barcelona,14,Raval,,1.000,35,29,1,
barcelona,14,Raval,,1.650,60,28,2,
barcelona,14,Raval,,1.550,80,19,2,
barcelona,14,Raval,,1.400,95,15,3,
barcelona,14,Raval,,950,55,17,2,
barcelona,14,Raval,,1.200,50,24,1,
barcelona,14,Raval,,1.200,50,24,1,
barcelona,14,Raval,,1.200,50,24,1,
barcelona,14,Raval,,1.200,50,24,1,
barcelona,14,Raval,,1.100,30,37,2,
barcelona,14,Raval,,1.450,45,32,1,
barcelona,14,Raval,,1.200,75,16,1,
barcelona,14,Raval,,1.200,75,16,1,
barcelona,14,Raval,,sin,75,,1,
barcelona,15,Raval,,1.100,,,2,
barcelona,15,Raval,,1.000,50,20,2,
barcelona,15,Raval,,1.290,70,18,2,
barcelona,15,Raval,,1.400,65,22,2,
barcelona,15,Raval,,1.100,,,2,
barcelona,15,Raval,,850,,,1,
barcelona,15,Sant Andreu,av. Meridiana 580,925,75,12,2,1
barcelona,15,Raval,,995,50,20,1,
barcelona,15,Raval,,1.095,52,21,1,
barcelona,15,Raval,,1.390,50,28,1,
barcelona,15,Esquerra Eixample,corsega,1.250,90,14,3,2
barcelona,15,Raval,,1.100,30,37,2,
barcelona,15,Raval,,1.550,,,2,
barcelona,15,Raval,,1.475,,,3,
barcelona,15,Raval,,1.000,30,33,2,
barcelona,15,Raval,,1.400,48,29,1,
barcelona,15,Raval,,950,60,16,2,
barcelona,15,Raval,,950,88,11,3,
barcelona,15,Raval,,1.365,60,23,2,
barcelona,15,Raval,,860,60,14,2,
barcelona,16,Raval,,1.400,40,35,1,1
barcelona,16,Poble - Sec,Fontrodona 21,880,55,16,2,1
barcelona,16,Raval,,2.000,100,20,3,
barcelona,16,Raval,,1.250,60,21,2,
barcelona,16,"Poble - Sec, Montjuic","Julia,  9",850,75,11,,
barcelona,16,Raval,,1.300,95,14,3,
barcelona,16,Raval,,1.650,65,25,2,
barcelona,16,Raval,,1.100,70,16,2,
barcelona,16,Raval,,1.050,30,35,1,
barcelona,16,Raval,,1.350,75,18,2,
barcelona,16,Raval,,1.000,70,14,1,
barcelona,16,Raval,,1.240,62,20,1,
barcelona,16,Raval,,1.550,55,28,2,
barcelona,16,Raval,,1.200,,,2,
barcelona,16,Raval,,1.250,50,25,1,
barcelona,16,Raval,,1.330,65,20,2,
barcelona,16,Raval,,1.450,90,16,3,
barcelona,16,Raval,,1.250,50,25,1,
barcelona,16,El Putget i Farró,PLAZA MAÑE I FLAQUER 1,1.040,70,15,3,1
barcelona,16,Raval,,1.000,50,20,3,
barcelona,17,Raval,,1.999,55,36,2,
barcelona,17,Raval,,960,56,17,2,
barcelona,17,Raval,,1.000,51,20,3,
barcelona,17,Raval,,1.395,78,18,2,
barcelona,17,Raval,,1.400,60,23,3,
barcelona,17,Raval,,1.300,60,22,2,
barcelona,17,Raval,,1.300,95,14,3,
barcelona,17,Raval,,1.100,72,15,2,
barcelona,17,Raval,,1.350,55,25,2,1
barcelona,17,Raval,,2.200,88,25,3,
barcelona,17,Raval,,1.800,90,20,2,
barcelona,17,Raval,,950,40,24,1,
barcelona,17,Raval,,900,40,23,1,
barcelona,17,Raval,,2.300,140,16,4,
barcelona,17,Raval,,950,,,2,
barcelona,17,Raval,,1.100,70,16,2,
barcelona,17,Sant Antoni,PARLAMENT,775,33,23,2,1
barcelona,17,Raval,,1.000,30,33,1,
barcelona,17,Raval,,740,35,21,1,
barcelona,17,Raval,,650,35,19,1,
barcelona,18,Raval,,2.100,80,26,2,
barcelona,18,Raval,,1.350,45,30,2,
barcelona,18,Raval,,1.400,50,28,2,
barcelona,18,Raval,,1.470,46,32,1,
barcelona,18,Raval,,650,35,19,1,
barcelona,18,Raval,,1.050,33,32,1,
barcelona,18,Raval,,1.600,60,27,2,
barcelona,18,Raval,,1.100,52,21,1,
barcelona,18,Gotic,,1.600,89,18,5,2
barcelona,18,Raval,,1.280,65,20,1,
barcelona,18,Raval,,1.500,63,24,2,
barcelona,18,Raval,,875,40,22,2,
barcelona,18,Raval,,1.090,60,18,1,
barcelona,18,Raval,,850,30,28,1,
barcelona,18,Guinardó,,1.200,80,15,2,1
barcelona,18,Raval,,750,50,15,2,
barcelona,18,Raval,,1.400,100,14,2,
barcelona,18,Raval,,1.650,,,3,
barcelona,18,Raval,,1.500,70,21,3,
barcelona,18,Raval,,1.800,75,24,3,
barcelona,19,Raval,,1.650,89,19,2,
barcelona,19,Raval,,1.050,30,35,1,
barcelona,19,Raval,,1.300,60,22,3,
barcelona,19,Raval,,895,33,27,1,
barcelona,19,Raval,,950,45,21,2,
barcelona,19,Raval,,2.550,76,34,4,
barcelona,19,Raval,,1.100,49,22,1,
barcelona,19,Raval,,877,65,13,2,
barcelona,19,Raval,,1.450,70,21,3,
barcelona,19,Raval,,1.390,70,20,1,
barcelona,19,Raval,,1.300,65,20,2,
barcelona,19,Raval,,790,45,18,1,
barcelona,19,Raval,,1.100,54,20,2,
barcelona,19,Raval,,1.355,50,27,2,
barcelona,19,Vilapiscina-Turó de la Peira,"Fabra y Puig 150, 5º 1",950,70,14,2,1
barcelona,19,Raval,,700,50,14,1,
barcelona,19,Raval,,1.850,90,21,3,
barcelona,19,Raval,,1.950,90,22,3,
barcelona,19,Raval,,1.650,,,1,
barcelona,19,Raval,,1.350,45,30,2,
barcelona,20,Raval,,1.700,51,33,1,
barcelona,20,Raval,,1.290,50,26,2,
barcelona,20,Raval,,1.500,60,25,2,
barcelona,20,Raval,,1.700,70,24,1,
barcelona,20,Raval,,1.300,45,29,2,
barcelona,20,Raval,,1.350,65,21,2,
barcelona,20,Raval,,1.700,70,24,3,
barcelona,20,Raval,,1.075,35,31,1,
barcelona,20,Raval,,1.400,65,22,3,
barcelona,20,Raval,,1.200,61,20,1,
barcelona,20,Raval,,1.650,,,2,
barcelona,20,Raval,,1.350,70,19,2,
barcelona,20,Grácia,,1.500,65,23,1,1
barcelona,20,Raval,,1.270,85,15,2,
barcelona,20,Raval,,1.710,60,29,1,
barcelona,20,Vilapiscina-Turó de la Peira,"pARDO 26, 5º 2",950,70,14,2,1
barcelona,20,Raval,,999,74,14,3,
barcelona,20,Raval,,1.500,74,20,2,
barcelona,20,Gotic,"Nou de St Francesc 5, 3º",1.080,64,17,2,1
barcelona,20,Gotic,,1.050,50,21,2,1
barcelona,21,Raval,,990,35,28,1,
barcelona,21,Raval,,1.120,40,28,2,
barcelona,21,Raval,,1.100,60,18,2,
barcelona,21,Raval,,790,50,16,2,
barcelona,21,Raval,,1.890,50,38,2,
barcelona,21,Raval,,890,55,16,1,
barcelona,21,Raval,,1.300,50,26,2,
barcelona,21,Raval,,2.500,75,33,2,
barcelona,21,Raval,,2.500,75,33,2,
barcelona,21,Raval,,800,34,24,1,
barcelona,21,Raval,,800,,,1,
barcelona,21,Raval,,1.600,200,8,2,
barcelona,21,Raval,,1.650,70,24,2,
barcelona,21,Raval,,1.550,40,39,1,
barcelona,21,Raval,,1.350,45,30,1,
barcelona,21,Raval,,1.682,42,40,1,
barcelona,21,Raval,,870,22,40,1,1
barcelona,21,Raval,,1.350,,,2,
barcelona,21,Raval,,1.350,80,17,2,
barcelona,21,Raval,,1.350,75,18,2,
barcelona,22,Raval,,2.000,135,15,5,
barcelona,22,Raval,,1.000,70,14,2,
barcelona,22,Raval,,990,40,25,1,
barcelona,22,Raval,,1.325,45,29,1,
barcelona,22,Raval,,1.250,55,23,2,
barcelona,22,Raval,,1.700,70,24,3,
barcelona,22,Raval,,1.175,42,28,1,
barcelona,22,Raval,,3.250,144,23,3,
barcelona,22,Verneda i La Pau,,2.100,70,30,3,2
barcelona,22,Raval,,900,38,24,3,1
barcelona,22,Raval,,1.900,85,22,4,
barcelona,22,Raval,,1.090,38,29,1,
barcelona,22,Raval,,1.600,80,20,3,
barcelona,22,Raval,,1.200,30,40,2,
barcelona,22,Raval,,1.099,65,17,1,
barcelona,22,Raval,,1.150,62,19,3,
barcelona,22,Raval,,1.750,86,20,3,
barcelona,22,Raval,,1.750,85,21,3,
barcelona,22,Raval,,950,92,10,1,
barcelona,22,Raval,,1.350,55,25,1,
barcelona,23,Raval,,1.300,47,28,1,
barcelona,23,Raval,,995,55,18,2,
barcelona,23,Raval,,899,40,22,1,
barcelona,23,Raval,,899,40,22,1,
barcelona,23,Raval,,899,45,20,1,
barcelona,23,Raval,,899,80,11,1,
barcelona,23,Raval,,1.090,60,18,1,
barcelona,23,Raval,,1.290,42,31,2,
barcelona,23,Raval,,1.000,35,29,1,
barcelona,23,Raval,,1.950,55,35,2,
barcelona,23,Raval,,1.650,,,2,
barcelona,23,Raval,,1.650,,,2,
barcelona,23,Raval,,1.650,70,24,2,
barcelona,23,Raval,,1.250,50,25,1,
barcelona,23,Raval,,1.090,35,31,1,
barcelona,23,Raval,,2.350,95,25,3,
barcelona,23,Raval,,2.400,95,25,4,
barcelona,23,Raval,,1.350,40,34,1,
barcelona,23,Raval,,1.250,20,63,2,
barcelona,23,Raval,,1.350,30,45,1,
barcelona,24,Raval,,950,50,19,2,
barcelona,24,Raval,,1.500,75,20,1,
barcelona,24,Raval,,1.650,78,21,1,
barcelona,24,Gotic,,1.200,60,20,3,2
barcelona,24,Raval,,900,40,23,1,
barcelona,24,Raval,,2.350,90,26,3,
barcelona,24,Raval,,1.695,65,26,2,
barcelona,24,Raval,,2.300,150,15,4,
barcelona,24,Raval,,1.950,60,33,3,
barcelona,24,Raval,,1.100,45,24,1,
barcelona,24,Raval,,1.200,75,16,1,
barcelona,24,Raval,,1.100,32,34,2,
barcelona,24,Raval,,1.100,,,1,
barcelona,24,Raval,,1.490,65,23,2,
barcelona,24,Raval,,1.595,,,2,
barcelona,24,Raval,,1.495,70,21,2,
barcelona,24,Raval,,1.495,60,25,2,
barcelona,24,Raval,,1.395,,,1,
barcelona,24,Raval,,1.595,70,23,1,
barcelona,24,Raval,,1.595,70,23,2,
barcelona,25,Raval,,1.750,102,17,2,
barcelona,25,Raval,,1.100,48,23,3,
barcelona,25,Raval,,1.085,60,18,2,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.350,75,18,2,
barcelona,25,Raval,,1.300,50,26,1,
barcelona,25,Raval,,850,60,14,1,
barcelona,25,Gotic,Nou de St Francesc 5,1.180,49,24,1,1
barcelona,25,Raval,,900,50,18,1,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,995,50,20,1,
barcelona,25,Raval,,1.000,,,1,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.200,,,2,
barcelona,25,Raval,,1.000,,,1,
barcelona,25,Raval,,1.000,,,1,
barcelona,25,Raval,,1.000,,,1,
barcelona,26,Raval,,1.000,,,1,
barcelona,26,Raval,,1.000,,,1,
barcelona,26,Raval,,1.000,,,1,
barcelona,26,Raval,,1.000,,,1,
barcelona,26,Raval,,1.150,67,17,2,
barcelona,26,Raval,,1.240,,,1,
barcelona,26,Raval,,1.845,55,34,1,
barcelona,26,Raval,,1.630,71,23,3,
barcelona,26,Raval,,1.490,,,2,
barcelona,26,Raval,,2.315,90,26,2,
barcelona,26,Raval,,1.465,50,29,1,
barcelona,26,Raval,,1.500,60,25,2,
barcelona,26,Raval,,1.490,45,33,1,
barcelona,26,Raval,,1.400,65,22,2,
barcelona,26,Raval,,1.300,70,19,2,
barcelona,26,Raval,,2.500,64,39,3,
barcelona,26,Raval,,995,50,20,1,
barcelona,26,Raval,,2.100,80,26,3,
barcelona,26,Raval,,1.300,55,24,2,
barcelona,26,Raval,,1.200,50,24,2,
barcelona,27,Raval,,2.000,120,17,5,
barcelona,27,Raval,,790,33,24,1,
barcelona,27,Raval,,1.100,50,22,2,
barcelona,27,Raval,,1.300,38,34,2,
barcelona,27,Raval,,1.400,55,25,1,
barcelona,27,Raval,,3.600,139,26,5,
barcelona,27,Raval,,1.250,60,21,2,
barcelona,27,Raval,,1.395,105,13,2,
barcelona,27,Raval,,1.395,105,13,2,
barcelona,27,Raval,,1.290,105,12,2,
barcelona,27,Raval,,1.395,105,13,2,
